model,sample_size,test_accuracy,test_roc_auc,training_time_seconds,inference_time_per_sample
Random Forest,2000,0.7297,0.8063367429803356,0.3356690999935381,3.06420499982778e-06
Random Forest,5000,0.73285,0.813513985193214,0.4003065000288188,4.163145000347868e-06
Random Forest,10000,0.73555,0.8153134510601563,0.5549049000255764,3.579424999770708e-06
Random Forest,20000,0.73685,0.8170648129246062,0.9773845999734476,4.328759998315945e-06
XGBoost,2000,0.72075,0.8012196140424012,0.3568363999947905,3.102099988609552e-07
XGBoost,5000,0.733,0.8155598448466239,0.0837213000049814,3.111600002739579e-07
XGBoost,10000,0.73635,0.8208135258956097,0.1181686000199988,3.33070001215674e-07
XGBoost,20000,0.74015,0.8221534661424109,0.1491262999479659,3.425700007937849e-07
xRFM,2000,0.71695,0.7842006796009062,1.928390999964904,5.365175000042655e-06
xRFM,5000,0.7225,0.790821058616734,28.511211799981535,3.0091710001579485e-05
xRFM,10000,0.7263,0.8018363813281824,70.57448780001141,8.532149999809918e-05
xRFM,20000,0.7242,0.8005116929292664,207.72743480000645,0.0001349723849998
